SQL>     select * from TASK_CODE order by task_id;

TASK_ID       |TASK_TYPE                                                                       |BIZ_ID|DISA|COMB|FLOWNAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0100059       |消費者貸款                                                                      |010   |0   |0   |COFlow010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0100060       |個人授信                                                                        |010   |1   |0   |COFlow010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0110066       |消費者貸款                                                                      |011   |0   |0   |COFlow011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0110067       |個人授信                                                                        |011   |1   |0   |COFlow011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0110068       |彙總消費性貸款                                                                  |011   |0   |1   |COFlow011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0120070       |消費者貸款                                                                      |012   |0   |0   |COFlow012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0120071       |個人授信                                                                        |012   |1   |0   |COFlow012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0130074       |一般                                                                            |013   |0   |0   |COFlow013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0140078       |消金案件覆審                                                                    |014   |0   |0   |COFlow014                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0150082       |一般                                                                            |015   |0   |0   |COFlow015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0160085       |整批分戶原則請示                                                                |016   |0   |0   |COFlow016                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0160086       |彙總消費原則請示                                                                |016   |0   |0   |COFlow016                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0170087       |一般                                                                            |017   |0   |0   |COFlow017                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180001       |債權─動產抵押權管理                                                            |018   |0   |0   |PRACTMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180002       |債權─動產抵押權登錄                                                            |018   |0   |0   |PRACTREG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180003       |債權─查調財產(申請,登錄,實益評估)                                              |018   |0   |0   |PRAPPREG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180004       |轄區管理維護作業                                                                |018   |0   |0   |PRAREAMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180005       |營業單位輔導申請作業                                                            |018   |0   |0   |PRBRANCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180006       |營業單位輔導結果陳報作業                                                        |018   |0   |0   |PRBRANCHRES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0180007       |信用卡─無追索實益管理                                                          |018   |0   |0   |PRCARDBADMNG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180008       |信用卡─轉銷呆帳                                                                |018   |0   |0   |PRCARDSE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180009       |信用卡─查調財產                                                                |018   |0   |0   |PRCARDSEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180010       |信用卡─函催                                                                    |018   |0   |0   |PRCARDSEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180011       |信用卡─訴追(支付命令)                                                          |018   |0   |0   |PRCARDTRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180012       |代碼維護                                                                        |018   |0   |0   |PRCODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0180013       |監理所資料維護                                                                  |018   |0   |0   |PRCOMDAMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0180014       |協議、核備程序                                                                  |018   |0   |0   |PRCONS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0180015       |審議小組維護                                                                    |018   |0   |0   |PRCONTEAMMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0180016       |委任律師申請                                                                    |018   |0   |0   |PRDELELAWAPP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180017       |委任律師起案登錄                                                                |018   |0   |0   |PRDELELAWREG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180018       |預收款登錄                                                                      |018   |0   |0   |PRDEPOSIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180019       |免列報設定                                                                      |018   |0   |0   |PRDISDECLARE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180020       |案件改分派                                                                      |018   |0   |0   |PRDISTR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0180021       |表單書狀管理                                                                    |018   |0   |0   |PRFORM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0180022       |轉列催收款項                                                                    |018   |0   |0   |PRFORWARD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180023       |債權─承受擔保品(停用)                                                          |018   |1   |0   |PRGAMNG_OLD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0180024       |債權─擔保品重估                                                                |018   |0   |0   |PRGARE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0180025       |資產評估分類作業                                                                |018   |0   |0   |PRGRAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0180026       |承受擔保品作業                                                                  |018   |0   |0   |PRGRTAPP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180027       |總行清理計畫訂定作業                                                            |018   |0   |0   |PRHOCLEAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180028       |總行法院函件通知作業                                                            |018   |0   |0   |PRHOSENRES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180029       |逾審委員維護                                                                    |018   |0   |0   |PRHUMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180030       |法拍屋資訊轉出                                                                  |018   |0   |0   |PRIMFTRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180031       |債權─保險申請                                                                  |018   |0   |0   |PRINSURANCEAPP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0180032       |債權─保險登錄                                                                  |018   |0   |0   |PRINSURANCEREG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
